run,domain,batch_size,max_lr,steps,valid_loss,valid_ppl,tokens_seen,wall_s,notes
tinystories_ba,tinystories,32,0.0003,20000,1.482,,163840000,,anchor from EXPERIMENT_LOG
owt_ba_20k,owt,32,0.0003,20000,4.248361,69.9906,163840000,2349.0,same arch/steps; vocab=32k params~45.2M; loss not cross-domain comparable
