run,step,train_loss,lr,wall_s
overfit_002,1,9.287471771240234,0.0,0.43
overfit_002,10,8.939715385437012,1.3499999999999998e-05,1.15
overfit_002,20,8.295106887817383,2.8499999999999998e-05,1.93
overfit_002,30,7.8731584548950195,4.3499999999999993e-05,2.72
overfit_002,40,7.480835437774658,5.85e-05,3.5
overfit_002,50,6.912291526794434,7.35e-05,4.29
overfit_002,60,6.194864749908447,8.849999999999998e-05,5.07
overfit_002,70,5.400874137878418,0.00010349999999999998,5.85
overfit_002,80,4.650208473205566,0.0001185,6.63
overfit_002,90,3.972431182861328,0.0001335,7.42
overfit_002,100,3.2574448585510254,0.00014849999999999998,8.21
overfit_002,110,2.546384334564209,0.0001635,9.01
overfit_002,120,1.8897387981414795,0.00017849999999999997,9.8
overfit_002,130,1.3118045330047607,0.0001935,10.59
overfit_002,140,0.7611696720123291,0.00020849999999999997,11.36
overfit_002,150,0.3680925965309143,0.00022349999999999998,12.14
overfit_002,160,0.15818347036838531,0.0002385,12.93
overfit_002,170,0.06359747052192688,0.0002535,13.71
overfit_002,180,0.03103996440768242,0.00026849999999999997,14.49
overfit_002,190,0.01874445378780365,0.00028349999999999995,15.27
overfit_002,200,0.01304023340344429,0.0002985,16.05
overfit_002,210,0.009888848289847374,0.0002994008652214158,16.83
overfit_002,220,0.007947539910674095,0.00029733660857393245,17.61
overfit_002,230,0.00661867018789053,0.00029382244434969734,18.39
overfit_002,240,0.005642993841320276,0.00028889687446733743,19.17
overfit_002,250,0.004911128431558609,0.00028261386450122557,19.95
overfit_002,260,0.004370736423879862,0.00027504225242335476,20.75
overfit_002,270,0.0038722786121070385,0.000266264994400112,21.53
overfit_002,280,0.0034969060216099024,0.00025637825590715916,22.31
overfit_002,290,0.003203220898285508,0.0002454903581203581,23.09
overfit_002,300,0.0030421928968280554,0.0002337205911263001,23.88
overfit_002,310,0.0028153788298368454,0.00022119790695515414,24.66
overfit_002,320,0.00264917453750968,0.0002080595067552394,25.44
overfit_002,330,0.0025364034809172153,0.00019444933758853324,26.22
overfit_002,340,0.0024470812641084194,0.00018051651531653698,27.0
overfit_002,350,0.0023597446270287037,0.00016641369085569315,27.78
overfit_002,360,0.0023025418631732464,0.00015229537770200055,28.56
overfit_002,370,0.002258913591504097,0.00013831625904881794,29.34
overfit_002,380,0.0022114692255854607,0.00012462949304542829,30.12
overfit_002,390,0.002183326752856374,0.00011138503476430461,30.9
overfit_002,400,0.0021575402934104204,9.872799326195598e-05,31.68
overfit_002,410,0.002135674236342311,8.679704173373838e-05,32.46
overfit_002,420,0.002116936258971691,7.572289818130702e-05,33.24
overfit_002,430,0.0021034982055425644,6.562689323883586e-05,34.02
overfit_002,440,0.0020892603788524866,5.661964084919956e-05,34.8
overfit_002,450,0.0020800428465008736,4.879982635446762e-05,35.58
overfit_002,460,0.002071055583655834,4.225312527864575e-05,36.36
overfit_002,470,0.00206396309658885,3.7051264648705946e-05,37.14
overfit_002,480,0.0020582834258675575,3.3251237138269095e-05,37.92
overfit_002,490,0.002053647767752409,3.089467664394648e-05,38.69
overfit_002,500,0.0020481969695538282,3.0007402135655863e-05,39.47
