step,total,seconds_per_merge,affected,freq
155,31743,2.87,353,8660000.0
156,31743,2.29,27072,8640000.0
157,31743,2.74,7,8610000.0
158,31743,2.87,2283,8600000.0
159,31743,2.08,4018,8590000.0
160,31743,1.66,47194,8500000.0
161,31743,2.27,1564,8460000.0
162,31743,1.88,102804,8410000.0
163,31743,3.27,45231,8340000.0
164,31743,3.7,100914,8340000.0
165,31743,3.23,21180,8240000.0
166,31743,4.05,942,8220000.0
167,31743,2.93,6416,8140000.0
168,31743,3.26,116207,8090000.0
169,31743,40.11,1,8060000.0
170,31743,28.29,68209,8010000.0
171,31743,20.87,36415,8010000.0
172,31743,15.04,12490,7990000.0
173,31743,10.7,86465,7830000.0
174,31743,9.29,9269,7780000.0
175,31743,7.77,591,7760000.0
176,31743,5.74,37381,7750000.0
177,31743,4.49,46261,7650000.0
178,31743,4.95,19662,7520000.0
179,31743,5.0,38313,7450000.0
180,31743,4.43,21439,7420000.0
181,31743,3.6,6021,7350000.0
182,31743,3.54,23843,7270000.0
183,31743,4.03,71387,7260000.0
184,31743,3.38,33276,7220000.0
185,31743,4.09,11554,7170000.0
186,31743,3.98,3822,7140000.0
187,31743,3.45,13658,7130000.0
188,31743,2.61,5149,7080000.0
189,31743,2.26,13675,7080000.0
190,31743,1.81,41795,6990000.0
191,31743,3.02,71429,6990000.0
192,31743,2.94,35481,6940000.0
193,31743,3.03,21103,6900000.0
194,31743,2.81,51290,6890000.0
195,31743,2.74,1051,6850000.0
196,31743,2.58,1153,6810000.0
197,31743,2.25,11153,6810000.0
198,31743,1.69,42933,6700000.0
199,31743,2.68,5652,6700000.0
200,31743,2.28,2814,6590000.0
201,31743,3.08,38356,6550000.0
202,31743,2.84,37872,6490000.0
203,31743,4.63,496,6490000.0
204,31743,3.36,9988,6480000.0
205,31743,2.48,75277,6450000.0
206,31743,2.69,25037,6420000.0
207,31743,2.56,17873,6410000.0
208,31743,1.94,11978,6380000.0
209,31743,2.26,50347,6370000.0
210,31743,2.1,10510,6340000.0
211,31743,2.5,24525,6330000.0
212,31743,2.0,34101,6270000.0
213,31743,3.2,17392,6230000.0
214,31743,2.84,82787,6210000.0
215,31743,3.36,42592,6150000.0
216,31743,5.05,3415,6010000.0
217,31743,6.99,254,5950000.0
218,31743,5.72,987,5870000.0
219,31743,5.97,1724,5830000.0
220,31743,4.7,10825,5770000.0
221,31743,4.35,1716,5770000.0
222,31743,4.35,32098,5750000.0
223,31743,2.96,445,5730000.0
224,31743,2.49,231,5720000.0
225,31743,2.63,869,5710000.0
226,31743,1.99,32855,5680000.0
227,31743,2.41,33969,5570000.0
228,31743,4.47,24461,5570000.0
229,31743,3.55,1920,5510000.0
230,31743,4.04,41681,5500000.0
231,31743,3.44,3209,5420000.0
232,31743,4.36,18439,5410000.0
233,31743,3.48,386,5410000.0
234,31743,3.48,3827,5300000.0
235,31743,3.73,18137,5250000.0
236,31743,3.62,37241,5210000.0
237,31743,3.82,3455,5200000.0
238,31743,2.99,19296,5190000.0
239,31743,2.6,2213,5170000.0
240,31743,2.09,37529,5130000.0
241,31743,2.24,250,5130000.0
242,31743,1.72,22412,5040000.0
243,31743,3.45,18476,5020000.0
244,31743,3.11,31986,4990000.0
245,31743,2.99,15785,4990000.0
246,31743,2.45,18418,4910000.0
247,31743,3.16,28890,4910000.0
248,31743,2.53,21996,4860000.0
249,31743,3.71,396,4850000.0
250,31743,3.31,20420,4840000.0
251,31743,2.69,10644,4810000.0
252,31743,3.16,18536,4810000.0
253,31743,2.64,8336,4790000.0
254,31743,2.3,4435,4780000.0
255,31743,1.82,2166,4770000.0
256,31743,1.4,18791,4750000.0
257,31743,2.07,33782,4690000.0
258,31743,3.26,6498,4680000.0
259,31743,2.59,336,4540000.0
260,31743,4.95,9853,4520000.0
261,31743,4.0,64419,4490000.0
262,31743,4.3,33261,4460000.0
263,31743,4.18,450,4440000.0
264,31743,3.67,313,4430000.0
265,31743,2.73,2306,4420000.0
266,31743,2.37,2044,4400000.0
267,31743,1.93,10877,4390000.0
268,31743,1.82,63928,4390000.0
269,31743,1.81,108353,4360000.0
270,31743,3.06,27180,4350000.0
271,31743,3.53,60932,4320000.0
272,31743,3.66,325,4310000.0
273,31743,2.96,30381,4310000.0
274,31743,2.3,39207,4290000.0
275,31743,2.22,14059,4260000.0
276,31743,2.4,175,4240000.0
277,31743,2.26,4945,4230000.0
278,31743,1.74,2991,4230000.0
279,31743,1.43,5696,4210000.0
280,31743,1.55,186,4200000.0
281,31743,1.42,27520,4200000.0
282,31743,1.22,20792,4180000.0
283,31743,1.79,9669,4180000.0
284,31743,1.33,3301,4150000.0
285,31743,2.54,54011,4140000.0
286,31743,2.47,2720,4130000.0
287,31743,2.05,2867,4130000.0
288,31743,1.56,5120,4090000.0
289,31743,1.84,1234,4060000.0
290,31743,1.63,3152,4050000.0
291,31743,1.4,14118,4010000.0
292,31743,2.26,192,4010000.0
293,31743,1.79,25866,4000000.0
294,31743,1.57,10717,3990000.0
295,31743,1.67,5727,3980000.0
296,31743,1.29,27582,3970000.0
297,31743,1.63,11215,3940000.0
298,31743,2.04,27146,3940000.0
299,31743,1.69,9201,3920000.0
300,31743,1.74,13120,3870000.0
301,31743,2.85,14833,3860000.0
302,31743,2.64,273,3850000.0
303,31743,2.1,35788,3840000.0
304,31743,1.98,24032,3840000.0
305,31743,1.8,442,3780000.0
306,31743,3.28,18741,3760000.0
307,31743,3.36,10294,3750000.0
308,31743,2.62,12290,3730000.0
309,31743,2.73,3065,3730000.0
310,31743,2.04,5601,3730000.0
311,31743,1.77,2963,3720000.0
312,31743,1.42,2126,3710000.0
313,31743,1.46,29486,3680000.0
314,31743,1.89,8634,3670000.0
315,31743,1.52,3296,3640000.0
316,31743,1.75,19472,3620000.0
317,31743,1.6,18265,3620000.0
318,31743,1.35,4397,3620000.0
319,31743,0.970873786407767,26527,3590000.0
320,31743,1.79,21654,3580000.0
321,31743,1.55,7269,3570000.0
322,31743,1.23,19235,3540000.0
323,31743,1.89,13291,3540000.0
324,31743,1.55,429,3530000.0
325,31743,1.14,12311,3520000.0
326,31743,1.79,558,3490000.0
327,31743,2.68,18892,3480000.0
328,31743,2.19,39140,3460000.0
329,31743,2.59,6395,3460000.0
330,31743,1.99,1554,3440000.0
331,31743,1.65,1534,3430000.0
332,31743,1.9,25686,3390000.0
333,31743,3.12,7698,3380000.0
334,31743,2.52,3286,3370000.0
335,31743,1.95,9713,3370000.0
336,31743,1.49,350,3360000.0
337,31743,1.12,11552,3350000.0
338,31743,1.23,5859,3340000.0
339,31743,43.89,17319,3340000.0
340,31743,31.13,20648,3330000.0
341,31743,22.61,2084,3320000.0
342,31743,16.8,10494,3320000.0
343,31743,11.86,173,3310000.0
344,31743,8.54,308,3310000.0
345,31743,8.54,7170,3300000.0
346,31743,5.04,494,3290000.0
347,31743,3.95,24028,3280000.0
348,31743,3.47,650,3280000.0
349,31743,2.55,9224,3280000.0
350,31743,1.94,7724,3270000.0
351,31743,1.56,3654,3270000.0
352,31743,1.24,2527,3240000.0
353,31743,1.38,10416,3240000.0
354,31743,1.08,13366,3220000.0
355,31743,1.64,1310,3220000.0
356,31743,1.27,452,3210000.0
357,31743,1.09,249,3210000.0
358,31743,1.07,10224,3200000.0
359,31743,1.16,372,3190000.0
360,31743,0.8928571428571428,18452,3180000.0
361,31743,1.12,16976,3180000.0
362,31743,1.24,164,3170000.0
363,31743,1.18,2399,3170000.0
364,31743,0.8620689655172414,6146,3170000.0
365,31743,0.8620689655172414,23866,3130000.0
366,31743,2.11,42894,3130000.0
367,31743,2.12,12055,3130000.0
368,31743,1.62,4388,3130000.0
369,31743,1.18,493,3080000.0
370,31743,2.46,578,3070000.0
371,31743,1.79,358,3060000.0
372,31743,1.92,22325,3060000.0
373,31743,1.59,24769,3040000.0
374,31743,1.99,520,3030000.0
375,31743,2.04,1655,3010000.0
376,31743,2.24,1345,3010000.0
377,31743,1.65,1116,2980000.0
378,31743,2.53,11863,2970000.0
379,31743,2.08,24209,2960000.0
380,31743,1.76,10686,2960000.0
381,31743,1.42,3442,2960000.0
382,31743,1.1,4398,2950000.0
383,31743,0.9174311926605504,3483,2950000.0
384,31743,0.6944444444444444,5088,2940000.0
385,31743,1.22,461,2930000.0
386,31743,0.9433962264150942,52400,2930000.0
387,31743,1.19,35070,2910000.0
388,31743,2.46,1013,2900000.0
389,31743,2.08,149,2900000.0
390,31743,1.71,7718,2880000.0
391,31743,1.81,554,2880000.0
392,31743,1.81,1624,2880000.0
393,31743,1.1,2977,2880000.0
394,31743,0.8849557522123894,8531,2880000.0
395,31743,0.8695652173913044,7508,2860000.0
396,31743,1.45,1860,2850000.0
397,31743,1.36,8862,2840000.0
398,31743,1.08,12454,2800000.0
399,31743,2.84,11516,2780000.0
400,31743,3.4,22712,2740000.0
401,31743,4.08,13394,2740000.0
402,31743,3.32,356,2730000.0
403,31743,2.49,5525,2730000.0
404,31743,2.12,2611,2730000.0
405,31743,1.52,41888,2700000.0
406,31743,2.6,1521,2690000.0
407,31743,2.44,6383,2680000.0
408,31743,2.07,8277,2670000.0
409,31743,1.93,1027,2660000.0
410,31743,2.0,35235,2660000.0
411,31743,1.71,12888,2630000.0
412,31743,2.6,1371,2620000.0
413,31743,2.56,7163,2620000.0
414,31743,1.86,37126,2590000.0
415,31743,3.02,12813,2590000.0
416,31743,2.23,12099,2580000.0
417,31743,1.95,4244,2580000.0
418,31743,1.86,7061,2580000.0
419,31743,1.52,18527,2570000.0
420,31743,1.64,5251,2550000.0
421,31743,1.96,1808,2530000.0
422,31743,2.13,1097,2530000.0
423,31743,2.13,7725,2520000.0
424,31743,1.88,4367,2510000.0
425,31743,1.58,489,2500000.0
426,31743,1.58,389,2500000.0
427,31743,1.58,35711,2480000.0
428,31743,1.46,460,2480000.0
429,31743,1.29,118,2480000.0
430,31743,1.02,338,2470000.0
431,31743,0.8474576271186441,7190,2470000.0
432,31743,1.02,1922,2470000.0
433,31743,0.8849557522123894,5454,2450000.0
434,31743,1.62,7511,2440000.0
435,31743,1.38,10993,2440000.0
436,31743,1.12,1682,2440000.0
437,31743,0.8849557522123894,284,2430000.0
438,31743,1.58,31133,2430000.0
439,31743,1.47,1,2430000.0
440,31743,1.35,18110,2420000.0
441,31743,1.18,4572,2410000.0
442,31743,1.44,264,2380000.0
443,31743,2.99,1690,2380000.0
444,31743,2.26,1362,2370000.0
445,31743,1.88,7029,2370000.0
446,31743,1.67,7846,2360000.0
447,31743,1.5,5509,2340000.0
448,31743,2.77,138,2330000.0
449,31743,2.12,10600,2330000.0
450,31743,2.01,46686,2330000.0
451,31743,1.78,21258,2310000.0
452,31743,2.56,1465,2300000.0
453,31743,2.44,1756,2290000.0
454,31743,2.15,7117,2290000.0
455,31743,1.6,2017,2290000.0
456,31743,1.18,1098,2280000.0
457,31743,1.75,20249,2270000.0
458,31743,1.67,10403,2270000.0
459,31743,1.28,5168,2260000.0
460,31743,1.49,17112,2260000.0
461,31743,1.23,900,2230000.0
462,31743,1.87,2504,2230000.0
463,31743,1.55,1737,2230000.0
464,31743,1.27,5893,2210000.0
465,31743,1.68,1221,2200000.0
466,31743,1.52,249,2180000.0
467,31743,2.67,5304,2180000.0
468,31743,1.97,15905,2150000.0
469,31743,2.91,28980,2150000.0
470,31743,2.41,129,2130000.0
471,31743,3.09,4275,2120000.0
472,31743,2.78,19148,2120000.0
473,31743,2.12,394,2100000.0
474,31743,2.46,1114,2100000.0
475,31743,2.46,6103,2100000.0
476,31743,1.41,8256,2090000.0
477,31743,1.66,2512,2080000.0
478,31743,1.29,199,2080000.0
479,31743,1.41,10389,2070000.0
480,31743,1.35,7663,2050000.0
481,31743,1.56,2627,2050000.0
482,31743,1.29,9908,2040000.0
483,31743,1.45,1799,2040000.0
484,31743,1.26,3979,2040000.0
485,31743,1.03,135,2040000.0
486,31743,1.03,11925,2020000.0
487,31743,1.38,5382,2020000.0
488,31743,1.28,1898,2020000.0
489,31743,1.16,291,2010000.0
490,31743,1.04,7854,2000000.0
491,31743,1.26,110,2000000.0
492,31743,1.04,324,2000000.0
493,31743,1.29,1885,1990000.0
494,31743,1.12,3863,1990000.0
495,31743,0.9900990099009901,94,1990000.0
496,31743,0.9009009009009008,28780,1990000.0
497,31743,0.8695652173913044,6075,1980000.0
498,31743,1.14,2018,1980000.0
499,31743,1.14,27113,1980000.0
500,31743,1.01,248,1970000.0
501,31743,0.9345794392523364,247,1960000.0
502,31743,0.9900990099009901,908,1960000.0
503,31743,0.8,14719,1960000.0
504,31743,0.8849557522123894,1672,1950000.0
505,31743,1.53,258,1950000.0
506,31743,1.59,5748,1950000.0
507,31743,1.18,258,1930000.0
508,31743,1.68,3567,1930000.0
509,31743,1.32,3225,1920000.0
510,31743,1.29,1565,1920000.0
511,31743,1.29,1022,1920000.0
512,31743,0.8130081300813008,4751,1920000.0
513,31743,0.6493506493506493,11941,1920000.0
514,31743,0.6666666666666666,2733,1910000.0
515,31743,0.78125,1163,1900000.0
516,31743,1.19,2167,1890000.0
517,31743,1.69,6262,1880000.0
518,31743,1.38,377,1880000.0
519,31743,1.2,5828,1880000.0
520,31743,1.11,8440,1870000.0
521,31743,1.53,647,1860000.0
522,31743,1.96,473,1850000.0
523,31743,1.74,3113,1850000.0
524,31743,1.42,7200,1840000.0
525,31743,1.59,3264,1840000.0
526,31743,1.23,125,1840000.0
527,31743,1.03,19588,1840000.0
528,31743,0.9174311926605504,13555,1830000.0
529,31743,0.9523809523809523,193,1820000.0
530,31743,1.87,7036,1820000.0
531,31743,1.4,22592,1800000.0
532,31743,2.45,3459,1800000.0
533,31743,2.59,2011,1800000.0
534,31743,1.86,15955,1780000.0
535,31743,2.49,2386,1770000.0
536,31743,2.71,258,1770000.0
537,31743,2.48,10381,1760000.0
538,31743,1.92,2337,1760000.0
539,31743,1.92,7305,1760000.0
540,31743,1.53,606,1760000.0
541,31743,1.19,1829,1750000.0
542,31743,1.31,6726,1750000.0
543,31743,1.04,5424,1740000.0
544,31743,0.8130081300813008,261,1740000.0
545,31743,0.6756756756756757,103,1730000.0
546,31743,1.29,1605,1730000.0
547,31743,0.9900990099009901,317,1730000.0
548,31743,0.8333333333333334,5797,1720000.0
549,31743,0.9009009009009008,426,1720000.0
550,31743,0.8333333333333334,17312,1720000.0
551,31743,0.7352941176470588,7848,1720000.0
552,31743,0.9900990099009901,7628,1720000.0
553,31743,0.7633587786259541,10064,1720000.0
554,31743,0.6493506493506493,310,1720000.0
555,31743,0.6493506493506493,127,1710000.0
556,31743,0.7299270072992701,1518,1710000.0
557,31743,0.7575757575757576,596,1710000.0
558,31743,0.7407407407407407,1958,1700000.0
559,31743,0.9174311926605504,2445,1700000.0
560,31743,0.9174311926605504,1301,1700000.0
561,31743,0.8333333333333334,673,1700000.0
562,31743,0.8333333333333334,1110,1690000.0
563,31743,0.7246376811594204,8579,1690000.0
564,31743,0.7042253521126761,26053,1690000.0
565,31743,0.7692307692307692,7163,1690000.0
566,31743,0.8130081300813008,12953,1690000.0
567,31743,0.9345794392523364,1321,1690000.0
568,31743,0.819672131147541,332,1680000.0
569,31743,1.03,217,1680000.0
570,31743,0.8064516129032259,1777,1680000.0
571,31743,0.8474576271186441,2001,1680000.0
572,31743,1.16,3003,1680000.0
573,31743,0.8849557522123894,1598,1670000.0
574,31743,0.8403361344537815,1988,1670000.0
575,31743,1.08,138,1670000.0
576,31743,1.16,21131,1660000.0
577,31743,1.42,2032,1660000.0
578,31743,1.12,6474,1660000.0
579,31743,0.8695652173913044,2976,1650000.0
580,31743,1.72,253,1650000.0
581,31743,1.51,1233,1650000.0
582,31743,1.16,355,1650000.0
583,31743,0.8403361344537815,21874,1640000.0
584,31743,0.9900990099009901,4305,1640000.0
585,31743,0.9615384615384615,1103,1640000.0
586,31743,0.7751937984496123,433,1640000.0
587,31743,1.26,60,1640000.0
588,31743,1.27,5540,1640000.0
589,31743,1.06,114,1630000.0
590,31743,0.8,12521,1630000.0
591,31743,1.71,2648,1630000.0
592,31743,1.34,153,1620000.0
593,31743,1.58,2915,1610000.0
594,31743,1.56,6142,1610000.0
595,31743,1.18,297,1610000.0
596,31743,0.9345794392523364,216,1610000.0
597,31743,0.9259259259259258,4270,1600000.0
598,31743,1.25,803,1600000.0
599,31743,0.9803921568627451,4749,1600000.0
600,31743,0.9259259259259258,16617,1600000.0
601,31743,0.9615384615384615,3349,1600000.0
602,31743,0.8403361344537815,16777,1600000.0
603,31743,0.8264462809917356,8794,1590000.0
604,31743,1.4,249,1580000.0
605,31743,2.3,6828,1580000.0
606,31743,2.44,4478,1570000.0
607,31743,2.34,3245,1570000.0
608,31743,1.68,438,1570000.0
609,31743,1.29,8190,1570000.0
610,31743,1.27,12420,1560000.0
611,31743,1.43,603,1560000.0
612,31743,1.2,121,1560000.0
613,31743,1.2,697,1560000.0
614,31743,1.12,258,1560000.0
615,31743,0.9259259259259258,860,1560000.0
616,31743,0.9259259259259258,1249,1560000.0
617,31743,0.9259259259259258,1597,1560000.0
618,31743,0.6289308176100629,793,1560000.0
619,31743,0.7462686567164178,375,1550000.0
620,31743,0.7462686567164178,11827,1550000.0
621,31743,0.6211180124223602,5369,1540000.0
622,31743,1.66,5777,1540000.0
623,31743,1.77,16070,1530000.0
624,31743,1.57,586,1530000.0
625,31743,1.54,406,1530000.0
626,31743,1.23,7151,1530000.0
627,31743,1.03,1254,1530000.0
628,31743,1.01,192,1520000.0
629,31743,1.11,4106,1520000.0
630,31743,0.8849557522123894,13280,1520000.0
631,31743,0.7874015748031495,2348,1520000.0
632,31743,0.819672131147541,2848,1510000.0
633,31743,0.819672131147541,225,1510000.0
634,31743,0.6993006993006994,677,1500000.0
635,31743,2.45,413,1500000.0
636,31743,1.9,2980,1500000.0
637,31743,1.4,2321,1490000.0
638,31743,1.28,19110,1490000.0
639,31743,1.16,3304,1490000.0
640,31743,1.22,2283,1480000.0
641,31743,1.61,1236,1470000.0
642,31743,2.28,347,1460000.0
643,31743,2.15,5695,1460000.0
644,31743,1.63,92,1460000.0
